nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
5,2,2,9,MILP-primal,1511.4286,1511.4286,1431.4286,0.0,80.0,-0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,2812.624938086
5,2,2,9,GREEDY,1531.4286,1500.7143,1430.7143,30.0,40.0,0.0, 1500.7143,10015.0,0.8721,0.5,1500.7143,0.9799,0,0.0,0.004126021000000035
5,2,2,9,LOCALSEARCH-LB,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,0.008106907000000163
5,2,2,9,LOCALSEARCH-HC,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,0.008336570999999848
5,2,2,9,LOCALSEARCH-BFSOPT,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,0.01550260399999992
5,2,3,10,MILP-primal,1511.4224,1511.4224,1430.9524,0.0,40.0,40.47, 1511.4224,10016.6667,0.6254,0.0,1470.9524,0.9732,1,0.5,113714.791586991
5,2,3,10,GREEDY,1531.4286,1000.4762,953.8095,20.0,26.6667,0.0, 1500.7143,6676.6667,0.5814,0.3333,1000.4762,0.6533,0,0.0,0.005741171000000156
5,2,3,10,LOCALSEARCH-HC,1511.4286,1007.619,954.2857,0.0,53.3333,0.0, 1511.4286,6680.0,0.5815,0.0,1007.619,0.6667,2,1.0,0.012572535000000107
5,2,3,10,LOCALSEARCH-BFSOPT,1511.4286,1245.7143,1192.381,0.0,40.0,13.3333, 1490.7143,8346.6667,0.6034,0.0,1232.381,0.8154,1,0.5,0.01492273700000002
5,3,3,11,MILP-primal,1531.4286,1524.2857,1430.9524,40.0,53.3333,-0.0, 1524.2857,10016.6667,1.1189,0.6667,1524.2857,0.9953,0,0.0,129539.583814563
5,3,3,11,GREEDY,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.012115536000000038
5,3,3,11,LOCALSEARCH-LB,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.016572089000000068
5,3,3,11,LOCALSEARCH-HC,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.016680104000000195
5,3,3,11,LOCALSEARCH-BFSOPT,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.016573649999999995
5,3,4,12,GREEDY,1531.4286,1013.2524,968.2524,15.0,30.0,-0.0, 1351.0032,6777.767,0.7426,0.25,1013.2524,0.6616,0,0.0,0.014917055000000179
5,3,4,12,LOCALSEARCH-LB,1511.4286,1197.181,1147.181,0.0,40.0,10.0, 1344.3366,8030.267,0.7592,0.0,1187.181,0.7855,1,0.3333,0.022346079000000074
5,3,4,12,LOCALSEARCH-HC,1511.4286,1197.181,1147.181,0.0,40.0,10.0, 1344.3366,8030.267,0.7592,0.0,1187.181,0.7855,1,0.3333,0.02265965599999986
5,3,4,12,LOCALSEARCH-BFSOPT,1511.4286,1197.181,1147.181,0.0,40.0,10.0, 1344.3366,8030.267,0.7592,0.0,1187.181,0.7855,1,0.3333,0.044421905999999955
6,3,4,13,GREEDY,1531.4286,1131.4196,1071.4196,30.0,30.0,0.0, 1508.5594,7499.9369,0.8372,0.5,1131.4196,0.7388,0,0.0,0.017925799999999992
6,3,4,13,LOCALSEARCH-LB,1511.4286,1318.9105,1250.7053,0.0,60.0,8.2053, 1509.0356,8754.9369,0.8538,0.0,1310.7053,0.8672,3,1.0,0.09933703399999994
6,3,4,13,LOCALSEARCH-HC,1511.4286,1318.9105,1250.7053,0.0,60.0,8.2053, 1509.0356,8754.9369,0.8538,0.0,1310.7053,0.8672,3,1.0,0.04780638700000006
6,3,4,13,LOCALSEARCH-BFSOPT,1511.4286,1318.9105,1250.7053,0.0,60.0,8.2053, 1509.0356,8754.9369,0.8538,0.0,1310.7053,0.8672,3,1.0,0.054429912999999885
